Period,Total,,USA,,,,Overseas,,,,,Total,,USA,,,,Overseas,,,,,Period,Food Services and Drinking Places1 Receipts ,,,,,,,,Food Services and Drinking Places1 Receipts ,,,,,,,,Period,"Air Passenger Traffic 1,2",,,,,,,Other Transportation,,,Air Passenger Traffic ,,,,,,,Other Transportation ,,,Period,Employment in key tourism industries1 (000s),,,,,Hotel Industry2,,,,Consumer Price Index1,,,Employment in key tourism industries1 ,,,,,Hotel Industry2,,,,Consumer Price Index1,
,,,Total,Same-day,Overnight,,Total,Asia,Europe,Other†,,,,Total,Same-day,Overnight,,Total,Asia,Europe,Other†,,,BC2,,,,Canada,,,,BC2,,,,Canada,,,,,Vancouver,,,,,Victoria,,BC Ferries,,,Vancouver,,,,,Victoria,,BC Ferries,,,,Air transport5,Accom-modation,Food & beverage services,"Arts, entertain-ment & recreation",,Occupancy Rate3 (%),Room Rate ($),Room Revenue ($)4,,Traveller accom-modation,Restaurant meals5,,Air transport5,Accom-modation,Food & beverage services,"Arts, entertain-ment & recreation",,Occupancy Rate3 ,Room Rate ,Room Revenue ($)4,,Traveller accom-modation,Restaurant meals5
,Annual data,,,,,,,,,,,Annual percent changes,,,,,,,,,,,,Total,"Drinking
Places",Food Services,,Total,"Drinking
Places",Food Services,,Total,"Drinking
Places",Food Services,,Total,"Drinking
Places",Food Services,,,Total,Domestic,Trans-border,Other Int'l.,,Total,,Vehicles,Passengers,,Total,Domestic,Trans-border,Other Int'l.,,Total,,Vehicles,Passengers,,,Annual data,,,,,,,,,,,,Annual percent changes,,,,,,,,,,
Jun,727389,,532847,172294,360553,,194541,92781,56657,45076,,-0.783757425,,-0.2458065,-1.048133748,0.142484168,,-2.227929277,-3.207936905,-0.840086109,-1.936213723,,May,1102077,62177.60298,1024764.158,,6411501,227168,6184333,,1.123846035,-2.165723996,0.35670634,,0.291575243,0.762925375,0.274345175,,May,"2,188","1,044",526.1122067,624.7925558,,163.3017351,,752.300975,"1,874",,-1.925435295,-1.84676159,-4.707616008,0.283614182,,-2.139610252,,-0.434689177,-0.099591846,,Jun,15681,40952.79358,195881.149,50573.68696,,70.46706677,196.5176454,"279,985",,117.3625508,148,,0.777634961,2.353536031,-0.821318151,-1.901060254,,-1.132156288,1.504620063,5.497125427,,15.24870624,0.611828688
Jul,723390,,528596,174013,354582,,194794,93005,56426,45347,,-0.549774605,,-0.797789985,0.997713211,-1.656067208,,0.130049707,0.241428741,-0.40771661,0.601206851,,Jun,1096689,61823.04115,1029509.357,,6435666,229966,6205699,,-0.488895059,-0.570240434,0.463052703,,0.376900822,1.231687562,0.345485924,,Jun,"2,216","1,062",530.4296926,631.7555436,,159.0714415,,758.2275426,"1,908",,1.2556771,1.706251361,0.820639752,1.114447948,,-2.590476808,,0.787792098,1.840530473,,Jul,15759,41503.39161,198032.9597,50952.8625,,69.99711674,189.0777668,"272,886",,102.358987,148.7,,0.497417257,1.34447002,1.098528749,0.749748644,,-0.469950036,-3.7858578,-2.535352149,,-12.78394488,0.472972973
Aug,716881,,526564,170066,356497,,190317,91986,54496,43785,,-0.899791261,,-0.384414562,-2.26822134,0.540072536,,-2.29832541,-1.095640019,-3.420409031,-3.444549805,,Jul,1089466,61326.2226,1034302.342,,6426119,221475,6204643,,-0.658618806,-0.803613897,0.465560172,,-0.148345175,-3.692284946,-0.017016617,,Jul,"2,192","1,051",526.3816649,619.6003189,,158.2580826,,756.6840945,"1,887",,-1.094936205,-1.080270382,-0.763160075,-1.924039262,,-0.511316772,,-0.203560024,-1.12493857,,Aug,15879,40478.73156,197120.3745,50895.72881,,68.90839429,186.6043467,"264,749",,100.7504451,149.7,,0.761469636,-2.468858599,-0.460824904,-0.112130476,,-1.088722444,-1.308149635,-2.981771567,,-1.571471039,0.672494956
Sep,722727,,532362,174225,358137,,190364,88859,54656,46826,,0.815477046,,1.101100721,2.445521151,0.460031922,,0.024695639,-3.399430348,0.29359953,6.945300902,,Aug,1073753,60882.94238,1024397.862,,6424399,222613,6201786,,-1.442266211,-0.722823291,-0.957600118,,-0.026765766,0.513827746,-0.046046163,,Aug,"2,188","1,036",527.1598063,613.2733501,,153.4431774,,753.1969595,"1,859",,-0.147019234,-1.43507375,0.147828363,-1.021137123,,-3.04243869,,-0.460844235,-1.463438604,,Sep,16126,40091.79431,196525.2006,50153.16027,,69.98539792,193.3978053,"275,236",,112.1865636,149.9,,1.555513571,-0.955902592,-0.301934246,-1.458999712,,1.077003626,3.640568278,3.961164453,,11.35093591,0.133600534
Oct,703677,,525244,184486,340757,,178433,84795,50089,43523,,-2.635850051,,-1.337060121,5.88951069,-4.852891491,,-6.267466538,-4.573537852,-8.355898712,-7.053773545,,Sep,1089381,62101.4851,1029110.276,,6412759,221367,6191392,,1.455455771,2.001451767,0.460017928,,-0.181184263,-0.55971574,-0.167596883,,Sep,"2,216","1,078",534.4200985,603.1872821,,151.1427976,,738.3899607,"1,805",,1.253665566,4.134163801,1.377246911,-1.644628437,,-1.499173728,,-1.965886687,-2.904171537,,Oct,16059,40277.54397,195037.6569,49753.10432,,70.11352993,185.3081858,"265,016",,103.040593,150.6,,-0.41547811,0.463310916,-0.756922626,-0.797668479,,0.128132006,-4.18289105,-3.7134193,,-8.15246519,0.466977985
Nov,713391,,529017,193253,335763,,184374,87121,51510,45732,,1.380462911,,0.718332813,4.752122112,-1.465560502,,3.32954106,2.743086267,2.836950229,5.075477334,,Oct,1107706,62283.96069,1045995.902,,6481968,217390,6264577,,1.682147935,0.293834495,1.640798517,,1.079239061,-1.796564077,1.182044361,,Oct,"2,165","1,036",530.9484588,603.2430676,,154.0900025,,746.9673086,"1,852",,-2.278965152,-3.905168666,-0.649608738,0.00924844,,1.949947255,,1.161628452,2.583776653,,Nov,16782,40658.18783,194899.6159,48859.68855,,70.18532591,185.2973489,"271,019",,101.3885605,150.9,,4.502148328,0.945052314,-0.070776558,-1.79569855,,0.071795985,-0.005848068,2.265399194,,-1.603283235,0.199203187
Dec,731098,,537180,192075,345104,,193917,95213,51953,46747,,2.482089065,,1.543050601,-0.609563629,2.782021843,,5.175892479,9.28823131,0.860027179,2.219452462,,Nov,1120796,62597.79112,1067271.661,,6509494,216994,6292500,,1.181721504,0.503870379,2.034019361,,0.424654981,-0.182161093,0.445728419,,Nov,"2,164","1,062",530.0212226,580.4155139,,159.0873681,,765.3569196,"1,897",,-0.082601668,2.453232198,-0.174637703,-3.784138583,,3.243147198,,2.461903061,2.439156145,,Dec,17164,40393.01224,195521.9712,49481.14132,,71.74201878,189.890365,"280,408",,102.0038028,150.5,,2.276248361,-0.652207112,0.319320948,1.27191308,,1.556692868,2.478727399,3.464093774,,0.606816332,-0.265076209
Jan '20,491086,,368022,150287,217734,,123063,64936,23624,34495,,-32.82897778,,-31.49000335,-21.75608486,-36.90771478,,-36.53831278,-31.7992291,-54.5281312,-26.2091685,,Dec,1113253,63242.99562,1059335.206,,6508240,220709,6287531,,-0.673003829,1.030714496,-0.743620915,,-0.01926417,1.712028904,-0.078967024,,Dec,"2,231","1,068",532.4295855,599.0544718,,158.8582068,,764.2468042,"1,884",,3.094267832,0.556135625,0.454389902,3.211312834,,-0.144047451,,-0.145045452,-0.68323616,,Jan '20,17044,40649.20994,195109.0382,51564.63852,,70.86836303,190.1026119,"281,401",,102.2522715,151.3,,-0.69913773,0.63426243,-0.21119521,4.210689452,,-0.873655744,0.111773389,0.354160583,,0.243587648,0.531561462
Feb,453828,,347432,146427,201004,,106395,51998,20523,33865,,-7.586858514,,-5.594774225,-2.568419091,-7.683687435,,-13.5442822,-19.92423309,-13.12648154,-1.826351645,,Jan '20,1093114,61399.45243,1044939.263,,6453310,216281,6237029,,-1.809022747,-2.91501561,-1.358960038,,-0.844006982,-2.006261639,-0.803208764,,Jan '20,"2,160","1,049",518.3342035,601.3052486,,157.0910735,,677.4266496,"1,664",,-3.171806736,-1.694436752,-2.647370177,0.375721556,,-1.112396562,,-11.36022476,-11.65118249,,Feb,17115,40183.12401,194357.6318,51426.18761,,68.72502584,187.5063426,"279,094",,101.477716,151.4,,0.416568881,-1.146605129,-0.385121274,-0.268499717,,-2.14333719,-1.365719983,-0.81983581,,-0.757494613,0.066093853
Mar,183439,,140308,66275,74032,,43131,18000,9273,15854,,-59.57962047,,-59.61569458,-54.73853866,-63.16889216,,-59.46144086,-65.38328397,-54.81654729,-53.18470397,,Feb,1127484,64539.87423,1047540.424,,6494021,221216,6272805,,3.144228324,5.11473909,0.248929334,,0.630854554,2.28175383,0.57360644,,Feb,"2,086","1,023",517.0509178,507.6729652,,162.9747957,,752.4714577,"1,860",,-3.401135871,-2.484943382,-0.247578815,-15.57150609,,3.745421091,,11.07792381,11.72451391,,Mar,15513,31926.62971,157409.3239,45178.89569,,38.64174784,166.8800976,"131,355",,96.99275612,150.9,,-9.360210342,-20.54716877,-19.01047441,-12.14807515,,-30.08327801,-11.0002919,-52.93528413,,-4.419650041,-0.330250991
Apr,14481,,12229,10031,2197,,2252,825,101,1324,,-92.10582264,,-91.28417482,-84.8645794,-97.03236438,,-94.77869746,-95.41666667,-98.91081635,-91.64879526,,Mar,735595,46637.3262,677668.5178,,4164756,120999,4043758,,-34.75783248,-27.73874018,-35.30860458,,-35.86783905,-45.30278099,-35.53509156,,Mar,"1,102",576.8680796,232.8505307,300.4267086,,78.48968412,,526.4094506,"1,091",,-47.19425286,-43.6311368,-54.96564794,-40.82278767,,-51.83937261,,-30.04260225,-41.33150757,,Apr,15116,22030.64788,93449.83781,22776.71241,,16.47603107,113.4086165,"20,476",,89.74431503,151.7,,-2.559143944,-30.99601153,-40.63259057,-49.58550433,,-22.16571677,-32.04185629,-84.41185629,,-7.473177766,0.530152419
May,13354,,11557,8970,2586,,1797,843,67,885,,-7.782611698,,-5.495134516,-10.57721065,17.70596268,,-20.20426288,2.181818182,-33.66336634,-33.1570997,,Apr,439050,18267.95498,424569.9999,,2518823,22947,2495877,,-40.31362367,-60.82975491,-37.34842496,,-39.52051453,-81.03538046,-38.27827976,,Apr,68.853,42.861,5.933,20.059,,4.261,,273.8042952,413.5396154,,x,x,x,x,,x,,x,x,,May,12752,13695.06541,89930.73735,21511.4872,,20.05324384,106.0224733,"30,090",,73.99470963,151.7,,-15.63905795,-37.83630202,-3.765764124,-5.554907073,,3.577212772,-6.512858924,46.95552869,,-17.54941847,0
Jun,14985,,12776,9782,2993,,2209,980,122,1105,,12.21356897,,10.54772,9.052396878,15.73859242,,22.92710072,16.2514828,82.08955224,24.85875706,,May,564610,21619.60991,531646.5557,,3215174,38402,3176772,,28.59810955,18.34718194,25.22000044,,27.64588858,67.35085196,27.28079148,,May,88.798,61.322,6.176,21.3,,6.635,,378.0381333,626.1724589,,28.96751049,43.07179021,4.095735715,6.18674909,,55.71462098,,38.0687374,51.41776884,,Jun,14447,18231.37723,121146.8773,24563.63597,,25.84887198,109.0771429,"94,206",,73.56313141,152.4,,13.29203262,33.12369591,34.7113133,14.18846005,,5.795628138,2.881152895,213.0763777,,-0.583255509,0.461437047
Jul,13710,,11276,8546,2729,,2434,1212,329,889,,-8.508508509,,-11.74076393,-12.63545287,-8.820581356,,10.18560435,23.67346939,169.6721311,-19.54751131,,Jun,785411,53821.27808,727812.3984,,4085871,108977,3976893,,39.10681709,148.9465735,36.89779244,,27.08086716,183.7794907,25.18660452,,Jun,193.102,145.599,13.702,33.801,,13.437,,532.3860984,"1,009",,117.462105,137.4335475,121.8588083,58.69014085,,102.5169555,,40.82867612,61.15594008,,Jul,12218,23161.84566,137709.5725,29861.64253,,36.05060583,125.4658953,"136,113",,72.07462099,152.6,,-15.42880875,27.04386159,13.67158237,21.56849485,,10.20173385,15.024919,44.48486062,,-2.02344625,0.131233596
Aug,16704,,12820,9389,3430,,3884,2721,359,800,,21.8380744,,13.69279886,9.864263983,25.68706486,,59.5727198,124.5049505,9.118541033,-10.01124859,,Jul,834219,47505.07318,793851.1984,,4723429,126514,4596914,,6.214326003,-11.73551638,9.073601954,,15.60396792,16.09238647,15.59058793,,Jul,331.695,268.989,18.229,44.477,,34.055,,606.2987965,"1,199",,71.77191329,84.74646117,33.03897241,31.58486435,,153.4419885,,13.88328853,18.80495074,,Aug,12224,25046.48266,143977.8649,30414.7281,,42.26729647,128.371176,"175,563",,74.0625647,152.9,,0.049107874,8.136817007,4.551820392,1.852160596,,6.216690641,2.315593988,28.98354295,,2.758174361,0.196592398
Sep,22003,,17595,12963,4632,,4407,3456,473,476,,31.72294061,,37.24648986,38.06582171,35.04373178,,13.46549949,27.01212789,31.75487465,-40.5,,Aug,859013,45985.99446,823121.0417,,5012524,144768,4867757,,2.97212123,-3.197718919,3.687069241,,6.120447666,14.4284427,5.891843963,,Aug,417.445,345.601,21.598,50.246,,46.889,,651.7618731,"1,318",,25.85206289,28.48146207,18.4815404,12.97074893,,37.68609602,,7.498460648,9.90194503,,Sep,13959,26384.19979,147402.663,32089.70295,,41.44871951,128.1570118,"200,219",,75.67490233,152.9,,14.19339005,5.340938086,2.378697676,5.507117612,,-0.818576964,-0.166832018,14.04381856,,2.176994042,0
Oct,34959,,28002,19789,8213,,6956,4529,1292,1130,,58.88287961,,59.14748508,52.65756384,77.31001727,,57.83980032,31.0474537,173.1501057,137.394958,,Sep,893494,45524.85431,847991.1247,,5175409,142550,5032859,,4.014025399,-1.002783905,3.021436912,,3.249560501,-1.532106543,3.391746959,,Sep,355.353,287.632,20.776,46.945,,37.661,,686.2457789,"1,413",,-14.87429482,-16.77338897,-3.805907954,-6.569677188,,-19.68052208,,5.290874957,7.246541971,,Oct,14428,26569.75191,149524.0456,32332.61806,,40.84084108,136.5187168,"95,516",,78.85174589,153.4,,3.35983953,0.703269866,1.4391752,0.756987699,,-0.607878432,6.52457868,-52.29417981,,4.198014758,0.327011118
Nov,40615,,30184,19921,10263,,10430,6181,2696,1551,,16.17895249,,7.79230055,0.667037243,24.96042859,,49.94249569,36.47604328,108.6687307,37.25663717,,Oct,902261,43872.39399,856200.5946,,4791620,109544,4682075,,0.981204127,-3.62979815,0.968107991,,-7.415626475,-23.15398106,-6.969875373,,Oct,333.694,267.116,25.092,41.486,,38.463,,688.216392,"1,383",,-6.095066033,-7.132725149,20.77396997,-11.62850144,,2.129523911,,0.287158507,-2.147760152,,Nov,14198,26560.69094,148738.1787,32894.20674,,36.52605229,137.7923567,"66,590",,80.64258413,153.6,,-1.59412254,-0.034102606,-0.525578887,1.736910646,,-4.314788788,0.932941555,-30.28400047,,2.271145954,0.130378096
Dec,32990,,26061,16935,9126,,6928,4336,1944,647,,-18.77385203,,-13.65955473,-14.98920737,-11.07863198,,-33.57622244,-29.84953891,-27.89317507,-58.28497743,,Nov,851612,42765.9554,819730.8528,,4658782,99677,4559105,,-5.613564146,-2.52194717,-4.259485682,,-2.772298304,-9.007339517,-2.62639962,,Nov,276.041,207.087,25.919,43.035,,25.495,,575.4998693,"1,107",,-17.27720606,-22.47300798,3.295871194,3.733789712,,-33.71551881,,-16.37806423,-19.96527934,,Dec,14198,26344.97485,146636.229,32933.54423,,34.65320122,129.3675587,"107,768",,81.36868224,154,,0,-0.812162926,-1.41318778,0.119587894,,-1.872851072,-6.114125742,61.83754973,,0.900390436,0.260416667
Jan '21,40903,,30796,22608,8188,,10106,6019,2607,1477,,23.98605638,,18.1689114,33.49867139,-10.27832566,,45.87182448,38.81457565,34.10493827,128.2843895,,Dec,830070,40674.23283,788246.0289,,4313341,80687,4232654,,-2.529555713,-4.891092807,-3.84087336,,-7.414835036,-19.05153646,-7.160418547,,Dec,293.525,214.042,30.217,49.266,,22.162,,497.2722056,889.6261896,,6.333841712,3.358491842,16.58242988,14.47891251,,-13.0731516,,-13.59299417,-19.61132694,,Jan '21,14545,25739.99824,146580.1173,32630.93307,,37.0352419,133.6425695,"66,024",,83.20001913,154.1,,2.444006198,-2.296364338,-0.038265881,-0.918853926,,2.382040682,3.30454621,-38.73444817,,2.250665537,0.064935065
Feb,33019,,25255,20490,4764,,7764,5314,908,1539,,-19.27486981,,-17.99259644,-9.36836518,-41.8172936,,-23.17435187,-11.71290912,-65.17069428,4.197698037,,Jan '21,879091,43819.83306,851158.1705,,4263685,69815,4193870,,5.905646512,7.733643661,7.981282406,,-1.151218974,-13.47428954,-0.916304522,,Jan '21,251.676,183.265,22.535,45.876,,18.396,,568.0036686,"1,075",,-14.25738864,-14.37895366,-25.42277526,-6.881013275,,-16.99305117,,14.22389232,20.87909623,,Feb,14603,26117.63481,147587.5201,32850.46538,,38.88517598,134.219515,"73,571",,84.09103979,154.6,,0.398762461,1.467119622,0.687271067,0.672773638,,1.849934086,0.431707877,11.43037246,,1.070938048,0.324464633
Mar,33859,,27551,22207,5343,,6308,4070,738,1495,,2.543989824,,9.091269056,8.379697413,12.15365239,,-18.75321999,-23.40986075,-18.72246696,-2.85899935,,Feb,920807,42656.38227,863442.4217,,4648112,88356,4559756,,4.745356283,-2.655078079,1.443239539,,9.016308663,26.55733009,8.724304759,,Feb,177.806,140.387,11.018,26.401,,13.388,,577.3703038,"1,115",,-29.35122936,-23.3967206,-51.10716663,-42.45139071,,-27.22330942,,1.649044838,3.679493221,,Mar,14372,26213.00506,149660.4148,33690.98893,,45.72955441,143.5218134,"169,289",,83.72166012,153.6,,-1.58186674,0.365156527,1.404518973,2.558635137,,6.844378427,6.930660128,130.1019858,,-0.439261632,-0.64683053
Apr,32928,,26635,20562,6072,,6292,4263,816,1210,,-2.749638205,,-3.324743204,-7.407574188,13.64402021,,-0.253646164,4.742014742,10.56910569,-19.06354515,,Mar,951827,40898.80458,891852.8164,,5081391,98608,4982783,,3.368784121,-4.120315877,3.290363545,,9.321612732,11.60306035,9.277404317,,Mar,202.133,171.709,9.704,20.72,,16.9,,636.0497368,"1,256",,13.68176552,22.31118266,-11.92593937,-21.51812431,,26.23244697,,10.16322327,12.65547695,,Apr,14109,26443.56745,142736.5411,34366.0908,,37.66135258,141.9321695,"77,289",,83.88755416,154.6,,-1.829947119,0.879572523,-4.626389464,2.003805441,,-8.068201829,-1.107597379,-54.3451511,,0.198149489,0.651041667
May,24296,,20659,14928,5730,,3637,1835,388,1411,,-26.21477162,,-22.43664351,-27.40005836,-5.632411067,,-42.19643992,-56.95519587,-52.45098039,16.61157025,,Apr,805574,35117.6516,771533.5666,,4517523,77290,4440234,,-15.36550234,-14.13526152,-13.4909312,,-11.09672529,-21.61893558,-10.88847337,,Apr,189.686,154.062,11.313,24.311,,15.698,,559.840181,"1,026",,-6.157826777,-10.27727143,16.58079143,17.33108108,,-7.112426036,,-11.98169757,-18.32199226,,May,12912,24490.78629,138307.9265,32572.85455,,32.40758316,128.6784615,"72,506",,76.84753812,155.3,,-8.483946417,-7.384711467,-3.102649546,-5.21803967,,-5.253769418,-9.338057788,-6.188092242,,-8.392205632,0.452781371
Jun,22156,,17700,13082,4617,,4456,2104,611,1732,,-8.808034244,,-14.32305533,-12.36602358,-19.42408377,,22.51855925,14.65940054,57.4742268,22.74982282,,May,863739,37207.88596,813305.8291,,4481694,76748,4404947,,7.220317438,5.952090374,5.414186031,,-0.793111623,-0.701255014,-0.794710369,,May,200.491,158.401,13.888,28.202,,12.746,,479.6557795,847.7831234,,5.696255918,2.816398593,22.76142491,16.00510057,,-18.8049433,,-14.32273069,-17.3627815,,Jun,12923,25700.05729,150904.7999,33909.07778,,41.25230727,132.8556897,"205,239",,76.46218341,155.7,,0.085192069,4.937656886,9.10784636,4.102260158,,8.844724107,3.246252782,183.0648168,,-0.501453552,0.257566001
Jul,26034,,20489,11715,8774,,5544,3146,1255,1139,,17.50315942,,15.75706215,-10.44947256,90.03682045,,24.41651706,49.52471483,105.400982,-34.23787529,,Jun,993383,43275.70952,940844.0782,,5396240,137091,5259149,,15.00962675,16.30789659,15.68146255,,20.4062571,78.62485016,19.39187918,,Jun,317.293,260.22,17.611,39.462,,26.332,,643.6456503,"1,258",,58.25797667,64.27926591,26.80731567,39.92624637,,106.5903028,,34.18907427,48.42030813,,Jul,12870,28738.01407,160271.0594,39070.35397,,56.23029462,157.1593475,"259,835",,78.81770608,156.1,,-0.410121489,11.82081716,6.206733972,15.22092763,,14.97798735,18.29327591,26.60130584,,3.080637467,0.256904303
Aug,72771,,61774,22798,38976,,10996,7405,2141,1448,,179.5229316,,201.498365,94.605207,344.2215637,,98.34054834,135.3782581,70.59760956,27.12906058,,Jul,1085497,50133.76685,1040000.804,,6073082,167694,5905388,,9.272757839,15.84735966,10.53912421,,12.54284465,22.32312843,12.28790057,,Jul,693.774,575.396,56.448,61.93,,68.292,,771.6416104,"1,657",,118.6540516,121.1190531,220.5269434,56.93578633,,159.3498405,,19.88609106,31.71497594,,Aug,12723,29930.78971,164465.7512,40023.83066,,60.13747434,165.4663016,"300,346",,94.79963457,156.8,,-1.142191142,4.150515184,2.617248408,2.440409636,,3.907179718,5.285688828,15.59130365,,20.27707896,0.448430493
Sep,112262,,92359,31911,60447,,19903,9156,7211,3529,,54.26749667,,49.51112118,39.97280463,55.08774631,,81.00218261,23.64618501,236.8052312,143.7154696,,Aug,1097986,50197.07662,1054748.219,,6358318,191212,6167106,,1.15053289,0.126281679,1.418019605,,4.696725649,14.02435388,4.431851049,,Aug,"1,052",837.619,111.269,102.764,,123.024,,792.0540377,"1,751",,51.5839452,45.57261434,97.11770125,65.93573389,,80.14408716,,2.645324859,5.642861257,,Sep,12665,30480.02753,166901.8237,41701.79337,,58.40271614,164.6112409,"326,812",,96.39859345,156.8,,-0.455867327,1.835026173,1.481203566,4.192409095,,-1.734758199,-0.516758216,8.811796277,,1.686671989,0
Oct,175684,,137326,45826,91500,,38358,15624,14958,7775,,56.49462864,,48.68718804,43.60565322,51.37227654,,92.72471487,70.64220183,107.4330883,120.3173704,,Sep,1088293,48471.09177,1043474.338,,6230958,168490,6062469,,-0.882798141,-3.438417063,-1.06886942,,-2.00304546,-11.88314541,-1.696695338,,Sep,948.217,701.673,125.78,120.764,,104.378,,794.7585938,"1,755",,-9.835306423,-16.23005209,13.04136822,17.51586159,,-15.15639225,,0.341461059,0.20853142,,Oct,12849,30686.97293,170664.1831,42682.74344,,60.00056071,170.0632925,"166,596",,97.95816343,157.6,,1.45282274,0.678954114,2.254235044,2.352297066,,1.597844572,3.312077308,-49.02398547,,1.617834786,0.510204082
Nov,210418,,164064,53225,110838,,46354,19254,18259,8840,,19.77072471,,19.47045716,16.14585606,21.13442623,,20.84571667,23.23348694,22.06845835,13.6977492,,Oct,1105362,47992.56291,1052556.397,,6223167,167274,6055893,,1.568419534,-0.987245885,0.870367272,,-0.125036953,-0.721704552,-0.108470658,,Oct,967.176,667.03,156.582,143.564,,99.127,,777.310014,"1,712",,1.999436838,-4.937200092,24.48878995,18.87979862,,-5.030753607,,-2.195456576,-2.426187175,,Nov,13336,31259.02141,171892.6314,43067.12773,,62.16550179,179.7310691,"140,136",,100.7334235,157.8,,3.790178224,1.864141112,0.71980436,0.900561368,,2.164941078,5.684810952,-15.88260134,,2.833107486,0.126903553
Dec,222709,,172462,51526,120936,,50246,18159,21771,10314,,5.841230313,,5.118734153,-3.192108971,9.11059384,,8.396254908,-5.687129947,19.23435018,16.67420814,,Nov,1120590,50973.01962,1078724.375,,6366997,181251,6185747,,1.377648227,6.210247024,2.486135444,,2.31120264,8.355751641,2.144258493,,Nov,945.603,598.476,186.694,160.433,,77.826,,760.9354715,"1,691",,-2.230514405,-10.27749876,19.23081836,11.75016021,,-21.48859544,,-2.106565238,-1.215714035,,Dec,13149,31763.12522,173495.2315,42932.74031,,63.28973619,187.4856855,"267,207",,102.5824842,157.9,,-1.402219556,1.612666634,0.932326243,-0.312041766,,1.124234396,4.314566445,90.67650787,,1.835598028,0.063371356
Jan '22,176063,,138691,66738,71952,,37372,11325,16484,9560,,-20.94482037,,-19.58170496,29.52295928,-40.50406827,,-25.62194005,-37.63423096,-24.28459878,-7.310451813,,Dec,1085731,48919.21525,1056575.983,,6046240,149734,5896505,,-3.110772004,-4.029198949,-2.053202141,,-5.037806677,-17.38859372,-4.675942938,,Dec,"1,141",712.504,208.391,220.2,,97.641,,713.1789525,"1,568",,20.67432104,19.05306144,11.62169111,37.25355756,,25.46064297,,-6.276027435,-7.283313593,,Jan '22,13246,32213.50283,171598.8499,41869.24271,,54.82724305,180.4685769,"227,052",,100.7293655,158.8,,0.737698684,1.417925995,-1.093045361,-2.477124884,,-8.462493131,-3.742743649,-15.0276217,,-1.806467041,0.569981001
Feb,239788,,191663,88708,102954,,48125,13540,20760,13821,,36.1944304,,38.19425918,32.91977584,43.08705804,,28.77287809,19.5584989,25.94030575,44.57112971,,Jan '22,1027259,47961.58726,1004887.389,,5200543,102576,5097967,,-5.385496039,-1.95757021,-4.892084932,,-13.98715565,-31.49451694,-13.54256462,,Jan '22,776.628,462.723,132.29,181.615,,57.181,,677.2836286,"1,440",,-31.94040838,-35.05678565,-36.51837171,-17.52270663,,-41.43751088,,-5.033144043,-8.170399679,,Feb,13699,32719.12988,174575.2607,42981.22641,,60.02557077,191.731357,"238,593",,100.6668862,159.7,,3.419900347,1.569612136,1.734516732,2.655848604,,5.198327715,6.240853807,5.083226856,,-0.062026846,0.56675063
Mar,291837,,226603,100148,126455,,65234,18745,28316,18165,,21.70625719,,18.22991396,12.89624386,22.8266993,,35.55116883,38.44165436,36.39691715,31.43043195,,Feb,1164330,52118.97202,1099143.4,,6304741,154764,6149977,,13.343373,8.668155064,9.379758644,,21.23235977,50.87739822,20.63587308,,Feb,813.356,488.348,154.505,170.503,,61.004,,794.5787567,"1,769",,4.729162482,5.537870389,16.79265251,-6.118437354,,6.685787237,,17.318465,22.8739924,,Mar,14279,32809.22102,177490.2254,43754.24007,,68.53104693,194.9851453,"332,533",,105.3920718,160.7,,4.233885685,0.275347004,1.669746747,1.798491393,,8.505476156,1.697055913,39.37234314,,4.693882705,0.626174076
Apr,377189,,303270,136671,166599,,73918,21819,31343,20748,,29.24646292,,33.83317961,36.46902584,31.74568028,,13.31207652,16.39903974,10.69006922,14.21965318,,Mar,1194640,53384.80337,1121594.569,,6774600,195683,6578916,,2.603213865,2.428734309,2.042606,,7.452471085,26.43961128,6.97464397,,Mar,"1,213",680.174,284.79,247.976,,94.642,,806.2213408,"1,817",,49.12781119,39.28059499,84.32413191,45.43791018,,55.14064651,,1.465252373,2.688671112,,Apr,14426,34450.82687,181814.9637,45299.93255,,71.13011741,202.4507639,"325,668",,109.1802164,163.5,,1.029483857,5.003489262,2.436606491,3.532669003,,2.599070484,3.82881403,-2.064614493,,3.594335504,1.7423771
May,402138,,328268,140980,187287,,73869,22595,31768,19501,,6.614455883,,8.242819929,3.152826862,12.41784164,,-0.066289672,3.556533297,1.355964649,-6.010217852,,Apr,1232088,58419.90262,1167414.62,,6922126,214002,6708125,,3.134668185,9.431708898,4.085259683,,2.177634104,9.361569477,1.963986164,,Apr,"1,377",776.205,310.852,290.206,,116.422,,787.8371907,"1,776",,13.54724883,14.11859318,9.15130447,17.02987386,,23.01303861,,-2.280285718,-2.232618637,,May,14749,34364.31313,182248.0948,45415.63037,,69.34751803,206.1225964,"320,332",,110.9063951,163.9,,2.239012893,-0.251122387,0.238226279,0.255403968,,-1.782599375,1.81369158,-1.638263456,,1.581036172,0.244648318
